File,FSL,Genus,species,AT,Lab_ID,Trial,HTST_Temp,PlateType,Storage_Temp,Day
ALL ESL IDs.xlsx#ALL,L8-0460,Bacillus,cereus_ss,296,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0461,Paenibacillus,amylolyticus_sl,783,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0462,Paenibacillus,sp.1,784,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0463,Paenibacillus,sp.1,784,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0464,Bacillus,toyonensis,775,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0465,Paenibacillus,peoriae_cf,67,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0466,Bacillus,cereus_ss,366,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0470,Paenibacillus,sp.1,781,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0474,Bacillus,mosaicus,785,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0488,Paenibacillus,odorifer,15,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0490,Paenibacillus,odorifer,15,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0493,Paenibacillus,odorifer,11,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0494,Paenibacillus,odorifer,50,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0496,Paenibacillus,odorifer,50,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0499,Paenibacillus,odorifer,32,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0501,Microbacterium,,,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0502,Paenibacillus,peoriae_cf,750,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0505,Paenibacillus,odorifer,1930,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0506,Paenibacillus,odorifer,15,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0507,Paenibacillus,etheri,786,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0519,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0520,Brevibacillus,borstelensis,518,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0521,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0525,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0526,Streptococcus,salivarius,788,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0527,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0528,Bacillus,safensis,551,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0529,Bacillus,paralicheniformis,215,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0530,Bacillus,sp.4,787,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0531,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0532,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0533,Bacillus,safensis,70,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0534,Bacillus,safensis,70,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0535,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0536,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0559,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0560,Bacillus,paralicheniformis,215,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0561,Streptococcus,salivarius,788,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0608,Bacillus,mosaicus,61,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0609,Paenibacillus,peoriae_cf,67,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0610,Paenibacillus,peoriae_cf,239,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0611,Bacillus,mosaicus,789,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0612,Paenibacillus,peoriae_cf,239,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0613,Paenibacillus,peoriae_cf,67,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0637,Bacillus,mosaicus,410,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0638,Paenibacillus,peoriae_cf,790,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0639,Paenibacillus,peoriae_cf,790,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0640,Bacillus,mosaicus,789,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0641,Paenibacillus,peoriae_cf,750,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0642,Bacillus,mosaicus,61,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0643,Paenibacillus,peoriae_cf,750,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0644,Paenibacillus,peoriae_cf,239,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0648,Paenibacillus,peoriae_cf,750,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0649,Paenibacillus,peoriae_cf,239,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0651,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0652,Micrococcus,,,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0653,Paenibacillus,humicus,1929,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0654,Bacillus,safensis,141,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0659,Paenibacillus,lautus,791,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0660,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0661,Bacillus,safensis,140,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0662,Paenibacillus,odorifer,15,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0663,Paenibacillus,peoriae_cf,776,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0664,Paenibacillus,peoriae_cf,750,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0665,Paenibacillus,peoriae_cf,750,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0666,Paenibacillus,peoriae_cf,792,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0667,Paenibacillus,peoriae_cf,792,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0686,Paenibacillus,peoriae_cf,239,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0687,Paenibacillus,peoriae_cf,239,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0688,Paenibacillus,peoriae_cf,239,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0689,Paenibacillus,peoriae_cf,67,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0690,Paenibacillus,peoriae_cf,67,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0693,Paenibacillus,sp.1,77,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0694,Paenibacillus,odorifer,21,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0695,Paenibacillus,odorifer,21,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0696,Paenibacillus,odorifer,21,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0700,Paenibacillus,peoriae_cf,750,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0701,Paenibacillus,peoriae_cf,776,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0705,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0706,Paenibacillus,odorifer,36,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0707,Paenibacillus,odorifer,21,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0708,Paenibacillus,odorifer,36,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0709,Paenibacillus,odorifer,27,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0710,Brevibacillus,borstelensis,519,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0711,Bacillus,licheniformis,1,,,,,,
Lonestar ESL Isolates.xlsx#Sheet1,L8-0069,,,,1-LPC-1,1,,LPC,,
